2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=0 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.685900
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=0 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=6.683900
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=0 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=6.739900
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=1 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.006000
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=1 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.054200
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=1 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.143200
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=2 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002700
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=2 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.011200
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=2 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.050800
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=3 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.005400
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=3 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.047300
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=3 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.050100
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=4 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002900
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=4 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.010300
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=4 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.030100
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=5 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002300
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=5 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.010300
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=5 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.040300
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=6 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.001200
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=6 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.001000
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=6 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.036100
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=7 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.010600
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=7 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.069000
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=7 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.035700
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=8 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.009000
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=8 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.059000
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=8 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.084800
